Model,Accuracy,Precision,Sensitivity,Best Estimator Params
KNN,78.81,78.72,78.81,"{'metric': 'manhattan', 'n_neighbors': 6}"
GaussianNB,64.66,64.49,64.66,{'var_smoothing': np.float64(0.01519911082952933)}
Decision Tree,78.57,78.58,78.57,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 4}"
Random Forest,84.91,84.88,84.91,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}"
SVM,74.85,74.76,74.85,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100}"
LDA,62.25,62.37,62.25,"{'shrinkage': 'auto', 'solver': 'lsqr'}"
MLP,77.48,77.37,77.48,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'solver': 'adam'}"
